YYYY,Ppm_ppb,SD,GR(ppm/yr),Source
1978,1479.00,0.700000,NaN,Kennaook / Cape Grim air archive
1978,1497.10,0.700000,NaN,Kennaook / Cape Grim air archive
1979,1495.10,1.80000,NaN,Kennaook / Cape Grim air archive
1980,1540.10,0.400000,NaN,Kennaook / Cape Grim air archive
1984,1590.90,0.500000,NaN,Kennaook / Cape Grim air archive
1984,1610.88,0.183600,NaN,flask
1984,1608.32,3.05210,NaN,flask
1984,1605.26,2.42930,NaN,flask
1984,1602.29,2.23120,NaN,flask
1984,1594.67,2.79160,NaN,flask
1985,1586.68,2.21450,NaN,flask
1985,1581.99,3.19390,7.15906,flask
1985,1582.53,2.77550,11.1890,flask
1985,1590.11,2.98310,14.4551,flask
1985,1598.09,1.88540,13.1130,flask
1985,1602.55,3.27910,11.3719,flask
1985,1610.49,4.35150,13.5360,flask
1985,1618.04,3.60790,17.0620,flask
1985,1619.51,1.88560,17.2250,flask
1985,1619.71,2.97280,15.3230,flask
1985,1615.40,3.27520,14.8101,flask
1985,1606.04,4.81540,16.0399,flask
1986,1600.21,1.75370,15.6589,flask
1986,1599.05,2.49040,13.9360,flask
1986,1599.76,2.65210,13.9131,flask
1986,1605.43,2.83390,13.1849,flask
1986,1612.90,2.74060,14.1990,flask
1986,1618.58,2.24990,16.8601,flask
1986,1626.15,3.26480,15.0720,flask
1986,1631.97,1.46400,12.4149,flask
1986,1633.42,1.56820,12.7830,flask
1986,1632.90,1.55660,14.8240,flask
1986,1629.60,2.33560,16.1899,flask
1986,1622.90,3.50740,14.6400,flask
1987,1615.29,2.47610,13.3101,flask
1987,1611.47,1.49770,13.4139,flask
1987,1612.54,1.91920,13.1069,flask
1987,1620.26,3.02840,13.7209,flask
1987,1629.09,4.02190,14.2710,flask
1987,1633.22,2.39230,14.5000,flask
1987,1639.46,3.16610,14.5220,flask
1987,1645.39,1.81440,10.9921,flask
1987,1646.53,1.54130,9.95996,flask
1987,1646.62,1.42330,9.96704,flask
