YYYY,Ppm_ppb,SD,GR(ppm/yr),Source
1976,328.861,0.165000,NaN,in situ
1976,328.988,0.285000,NaN,in situ
1976,329.653,0.282000,NaN,in situ
1976,330.550,0.201000,NaN,in situ
1976,330.872,0.234000,NaN,in situ
1976,330.899,0.0150000,NaN,in situ
1976,330.883,0.243000,2.14600,in situ
1976,330.677,0.187000,2.51199,in situ
1977,330.529,0.235000,2.14697,in situ
1977,330.543,0.198000,1.77701,in situ
1977,330.724,0.119000,2.06799,in situ
1977,330.805,0.178000,2.13501,in situ
1977,331.007,0.132000,1.89502,in situ
1977,331.500,0.203000,1.70001,in situ
1977,331.800,0.206000,1.56500,in situ
1977,332.327,0.216000,1.63199,in situ
1977,332.940,0.113000,1.67401,in situ
1977,333.034,0.199000,1.66901,in situ
1977,332.778,0.226000,1.63901,in situ
1977,332.377,0.259000,1.51501,in situ
1978,332.094,0.201000,1.51700,in situ
1978,332.175,0.245000,1.59900,in situ
1978,332.398,0.198000,2.03699,in situ
1978,332.474,0.201000,2.29901,in situ
1978,332.646,0.200000,2.04797,in situ
1978,333.015,0.102000,2.15399,in situ
1978,333.317,0.236000,2.40399,in situ
1978,333.926,0.363000,2.41000,in situ
1978,334.977,0.387000,2.36499,in situ
1978,335.333,0.203000,2.22900,in situ
1978,334.826,0.203000,1.98001,in situ
1978,334.531,0.197000,1.87399,in situ
1979,334.498,0.211000,2.13501,in situ
1979,334.585,0.210000,2.01001,in situ
1979,334.763,0.198000,1.00400,in situ
1979,334.703,0.217000,0.645996,in situ
1979,334.626,0.177000,1.14502,in situ
1979,334.889,0.197000,1.20200,in situ
1979,335.452,0.265000,1.18002,in situ
1979,335.936,0.172000,1.19302,in situ
1979,335.981,0.213000,1.13501,in situ
1979,335.979,0.0240000,1.35400,in situ
1979,335.971,0.215000,1.55899,in situ
1979,335.733,0.242000,1.64301,in situ
1980,335.678,0.204000,1.47800,in situ
1980,335.778,0.188000,1.16000,in situ
1980,335.898,0.179000,1.20901,in situ
