YYYY,Ppm_ppb,SD,GR(ppm/yr),Source
1978,299.190,0.230000,NaN,Kennaook / Cape Grim air archive
1978,299.550,0.190000,NaN,Kennaook / Cape Grim air archive
1980,301.660,0.0700000,NaN,Kennaook / Cape Grim air archive
1981,301.840,0.110000,NaN,Kennaook / Cape Grim air archive
1984,302.980,0.110000,NaN,Kennaook / Cape Grim air archive
1986,304.510,0.0900000,NaN,Kennaook / Cape Grim air archive
1986,304.410,0.110000,NaN,Kennaook / Cape Grim air archive
1987,304.950,0.120000,NaN,Kennaook / Cape Grim air archive
1987,305.320,0.0800000,NaN,Kennaook / Cape Grim air archive
1988,305.650,0.0600000,NaN,Kennaook / Cape Grim air archive
1989,307.060,0.0400000,NaN,Kennaook / Cape Grim air archive
1989,307.490,0.0800000,NaN,Kennaook / Cape Grim air archive
1990,307.650,0.120000,NaN,Kennaook / Cape Grim air archive
1990,307.570,0.300000,NaN,Kennaook / Cape Grim air archive
1990,307.780,0.0600000,NaN,Kennaook / Cape Grim air archive
1990,308.270,0.160000,NaN,Kennaook / Cape Grim air archive
1990,308.260,0.130000,NaN,Kennaook / Cape Grim air archive
1991,308.670,0.0400000,NaN,Kennaook / Cape Grim air archive
1992,309.440,0.0700000,NaN,Kennaook / Cape Grim air archive
1992,309.290,0.0600000,NaN,Kennaook / Cape Grim air archive
1992,309.070,0.0900000,NaN,Kennaook / Cape Grim air archive
1992,309.070,0.100000,NaN,Kennaook / Cape Grim air archive
1992,309.132,0.353900,NaN,flask
1992,309.309,0.289600,NaN,flask
1992,309.412,0.292500,NaN,flask
1992,309.440,0.323800,NaN,flask
1992,309.472,0.102800,NaN,flask
1993,309.363,0.230500,NaN,flask
1993,309.149,0.455800,0.256012,flask
1993,308.891,0.275200,0.174011,flask
1993,308.848,0.319600,0.228027,flask
1993,309.007,0.164800,0.213989,flask
1993,309.033,0.252000,-0.00698853,flask
1993,309.144,0.413800,-0.00701904,flask
1993,309.388,0.336200,0.193024,flask
1993,309.483,0.0824000,0.704010,flask
1993,309.640,0.265200,0.826996,flask
1993,309.654,0.415300,0.726013,flask
1993,309.465,0.0443000,0.986023,flask
1994,309.356,0.0294000,0.970001,flask
1994,309.342,0.0405000,0.795990,flask
1994,309.595,0.175000,0.688995,flask
