State,Year,Drought Count,Drought Cost,Drought Lower 75,Drought Upper 75,Drought Lower 90,Drought Upper 90,Drought Lower 95,Drought Upper 95,Flooding Count,Flooding Cost,Flooding Lower 75,Flooding Upper 75,Flooding Lower 90,Flooding Upper 90,Flooding Lower 95,Flooding Upper 95,Freeze Count,Freeze Cost,Freeze Lower 75,Freeze Upper 75,Freeze Lower 90,Freeze Upper 90,Freeze Lower 95,Freeze Upper 95,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 75,Severe Storm Upper 75,Severe Storm Lower 90,Severe Storm Upper 90,Severe Storm Lower 95,Severe Storm Upper 95,Tropical Cyclone Count,Tropical Cyclone Cost,Tropical Cyclone Lower 75,Tropical Cyclone Upper 75,Tropical Cyclone Lower 90,Tropical Cyclone Upper 90,Tropical Cyclone Lower 95,Tropical Cyclone Upper 95,Wildfire Count,Wildfire Cost,Wildfire Lower 75,Wildfire Upper 75,Wildfire Lower 90,Wildfire Upper 90,Wildfire Lower 95,Wildfire Upper 95,Winter Storm Count,Winter Storm Cost,Winter Storm Lower 75,Winter Storm Upper 75,Winter Storm Lower 90,Winter Storm Upper 90,Winter Storm Lower 95,Winter Storm Upper 95,All Disasters Count,All Disasters Cost,All Disasters Lower 75,All Disasters Upper 75,All Disasters Lower 90,All Disasters Upper 90,All Disasters Lower 95,All Disasters Upper 95
US,1980,1,41.1,32.8,49.2,30.3,51.7,29.1,52.9,1,2.8,1.6,3.2,1.6,3.9,1.2,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3,1.5,3.1,1.5,3.8,1.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46.2,35.9,55.5,33.4,59.4,31.4,62.2
US,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1,1.8,2.2,1.5,2.6,1.1,2.9,1,1.4,1.1,1.4,0.7,1.8,0.7,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.5,2.9,3.6,2.2,4.4,1.8,5
US,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2,2.6,3.4,2,3.4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2,1.7,2.4,1.4,2.7,0,3.4,3,5.4,4.3,5.8,3.4,6.1,2,7.4
US,1983,1,9.7,6.8,11.1,6.2,12.4,5.5,13,3,11.2,9.8,13.6,9.2,14.6,8.4,15.3,1,6.5,5.2,7.8,5.2,8.2,4.9,8.2,0,0,0,0,0,0,0,0,1,9.5,6.7,9.5,6,9.9,5.7,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36.9,28.5,42,26.6,45.1,24.5,46.7
US,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,3.1,3.7,2.5,4,2.5,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,3.1,3.7,2.5,4,2.5,4.6
US,1985,0,0,0,0,0,0,0,0,1,4.1,2.6,4.7,2.3,5,2.3,5.6,1,3.6,3,3.9,2.7,4.2,2.4,4.5,1,1.8,1.5,1.8,1.2,2.1,1.2,2.4,3,10.7,7.2,10.6,6.6,11.4,6,12,0,0,0,0,0,0,0,0,1,2.5,2.7,2.7,2.4,3,2.4,3,7,22.7,17,23.7,15.2,25.7,14.3,27.5
US,1986,1,5.2,4.4,6.1,4.1,6.7,3.8,7,1,1.2,0.9,1.5,0.9,1.7,0.6,2,0,0,0,0,0,0,0,0,1,1.5,1.2,1.5,1.2,1.8,1.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.9,6.5,9.1,6.2,10.2,5.6,10.8
US,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,1988,1,55.2,42,67.1,38.9,70.1,37.5,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.2,42,67.1,38.9,70.1,37.5,71.8
US,1989,1,7.9,6.8,9.2,6.6,9.5,6.3,9.7,0,0,0,0,0,0,0,0,1,5.3,3.9,6.6,3.9,6.6,3.7,6.8,1,1.4,1.3,1.5,1.3,1.5,1,1.8,2,24.4,22,25.8,21.2,26.8,20.6,27.3,0,0,0,0,0,0,0,0,1,1.7,1.5,2,1.5,2,1.5,2.3,6,40.7,35.5,45.1,34.5,46.4,33.1,47.9
