# Title: Alabama Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
AL,1980,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
AL,1981,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AL,1982,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,0,0-0,1,5-100,2,5-100
AL,1983,1,5-100,1,5-100,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,3,100-250
AL,1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,1985,0,0-0,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,1,5-100,3,100-250
AL,1986,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AL,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,1988,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
AL,1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
AL,1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,1991,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AL,1992,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AL,1993,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,2,100-250
AL,1994,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,250-500,2,250-500
AL,1995,1,5-100,0,0-0,0,0-0,0,0-0,2,250-500,0,0-0,0,0-0,3,250-500
AL,1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,1998,1,5-100,0,0-0,0,0-0,1,5-100,1,100-250,0,0-0,0,0-0,3,250-500
AL,1999,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,3,5-100
AL,2000,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,2,100-250
AL,2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,2002,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100,1,100-250,0,0-0,3,250-500
AL,2003,0,0-0,0,0-0,0,0-0,3,5-100,0,0-0,0,0-0,0,0-0,3,5-100
AL,2004,0,0-0,0,0-0,0,0-0,0,0-0,1,1000-2000,0,0-0,0,0-0,1,1000-2000
AL,2005,0,0-0,0,0-0,0,0-0,1,5-100,3,1000-2000,0,0-0,0,0-0,4,1000-2000
AL,2006,1,5-100,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,3,100-250
AL,2007,1,5-100,0,0-0,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,2,5-100
AL,2008,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100,0,0-0,0,0-0,4,100-250
AL,2009,0,0-0,0,0-0,0,0-0,3,100-250,0,0-0,0,0-0,0,0-0,3,100-250
AL,2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AL,2011,1,5-100,0,0-0,0,0-0,3,1000-2000,1,5-100,0,0-0,0,0-0,5,1000-2000
AL,2012,1,5-100,0,0-0,0,0-0,1,5-100,1,5-100,0,0-0,0,0-0,3,100-250
AL,2013,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AL,2014,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,100-250
AL,2015,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,2,5-100
AL,2016,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,3,5-100
AL,2017,0,0-0,1,0-5,1,0-5,4,100-250,2,100-250,0,0-0,0,0-0,8,100-250
AL,2018,0,0-0,0,0-0,0,0-0,3,100-250,1,250-500,0,0-0,0,0-0,4,500-1000
AL,2019,0,0-0,0,0-0,0,0-0,3,5-100,0,0-0,0,0-0,0,0-0,3,5-100
AL,2020,0,0-0,0,0-0,0,0-0,6,5-100,3,1000-2000,0,0-0,0,0-0,9,1000-2000
AL,2021,0,0-0,0,0-0,0,0-0,3,5-100,3,5-100,0,0-0,0,0-0,6,100-250
AL,2022,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,1,5-100,3,5-100
AL,2023,1,5-100,0,0-0,0,0-0,6,100-250,0,0-0,0,0-0,0,0-0,7,100-250
AL,2024,0,0-0,0,0-0,0,0-0,5,100-250,2,5-100,0,0-0,0,0-0,7,100-250
AL,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
