# Title: Arkansas Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
AR,1980,1,250-500,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,250-500
AR,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AR,1982,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100
AR,1983,1,250-500,1,250-500,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,3,500-1000
AR,1984,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AR,1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
AR,1986,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
AR,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AR,1988,1,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000
AR,1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
AR,1990,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
AR,1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AR,1992,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AR,1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AR,1994,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,100-250,2,100-250
AR,1995,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AR,1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
AR,1997,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AR,1998,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
AR,1999,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,3,100-250
AR,2000,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
AR,2001,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,0,0-0,0,0-0,1,0-5
AR,2002,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
AR,2003,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,2,5-100
AR,2004,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AR,2005,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,2,5-100
AR,2006,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
AR,2007,1,5-100,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,2,100-250
AR,2008,1,5-100,0,0-0,0,0-0,3,250-500,2,100-250,0,0-0,0,0-0,6,250-500
AR,2009,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,2,5-100
AR,2010,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AR,2011,1,100-250,1,250-500,0,0-0,4,250-500,0,0-0,0,0-0,0,0-0,6,500-1000
AR,2012,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AR,2013,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AR,2014,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
AR,2015,0,0-0,1,5-100,0,0-0,3,100-250,0,0-0,0,0-0,0,0-0,4,100-250
AR,2016,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
AR,2017,0,0-0,1,100-250,0,0-0,3,5-100,0,0-0,0,0-0,0,0-0,4,100-250
AR,2018,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,2,5-100
AR,2019,0,0-0,2,250-500,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,4,500-1000
AR,2020,0,0-0,0,0-0,0,0-0,7,250-500,1,5-100,0,0-0,0,0-0,8,500-1000
AR,2021,0,0-0,0,0-0,0,0-0,3,5-100,1,5-100,0,0-0,1,100-250,5,100-250
AR,2022,1,5-100,0,0-0,0,0-0,3,250-500,0,0-0,0,0-0,1,5-100,5,250-500
AR,2023,1,5-100,0,0-0,0,0-0,5,500-1000,0,0-0,0,0-0,0,0-0,6,500-1000
AR,2024,1,5-100,0,0-0,0,0-0,4,250-500,0,0-0,0,0-0,1,5-100,6,500-1000
AR,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
