# Title: Arizona Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
AZ,1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1983,0,0-0,2,500-1000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,500-1000
AZ,1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1986,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
AZ,1995,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1998,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,1999,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,2000,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AZ,2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,2002,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2003,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2004,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,2006,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2007,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,2,5-100
AZ,2008,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,1,0-5
AZ,2009,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
AZ,2010,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,0,0-0,1,500-1000
AZ,2011,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2012,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2013,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AZ,2014,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5
AZ,2015,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5
AZ,2016,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
AZ,2017,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
AZ,2018,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5
AZ,2019,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
AZ,2020,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2021,1,5-100,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,3,5-100
AZ,2022,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
AZ,2023,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AZ,2024,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
AZ,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
