# Title: California Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
CA,1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1983,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CA,1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1986,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CA,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1990,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,1,5-100,0,0-0,2,250-500
CA,1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,1,250-500
CA,1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
CA,1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
CA,1995,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
CA,1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,1997,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
CA,1998,0,0-0,0,0-0,1,100-250,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
CA,1999,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2000,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CA,2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2002,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,2,5-100
CA,2003,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,1,100-250
CA,2004,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2006,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100
CA,2007,1,0-5,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,3,100-250
CA,2008,1,0-5,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,3,5-100
CA,2009,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100
CA,2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2011,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2012,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,2,5-100
CA,2013,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CA,2014,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CA,2015,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,100-250
CA,2016,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,100-250
CA,2017,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,1,500-1000,0,0-0,3,500-1000
CA,2018,1,0-5,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,2,500-1000
CA,2019,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,1,100-250
CA,2020,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,2,250-500
CA,2021,1,5-100,1,5-100,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,3,100-250
CA,2022,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,100-250
CA,2023,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
CA,2024,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CA,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
