# Title: Colorado Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
CO,1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1982,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CO,1983,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CO,1984,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,0,0-0,1,250-500
CO,1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1986,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CO,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1989,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CO,1990,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,1,5-100,0,0-0,2,500-1000
CO,1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1994,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,2,5-100
CO,1995,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1996,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CO,1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1998,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,1999,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,2000,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,100-250
CO,2001,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,0,0-0,0,0-0,1,0-5
CO,2002,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,100-250
CO,2003,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
CO,2004,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,0,0-0,1,250-500
CO,2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,2006,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
CO,2007,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CO,2008,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,3,100-250
CO,2009,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,1,5-100,0,0-0,2,250-500
CO,2010,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,1,100-250
CO,2011,1,5-100,0,0-0,0,0-0,1,100-250,0,0-0,1,5-100,0,0-0,3,100-250
CO,2012,1,5-100,0,0-0,0,0-0,1,250-500,0,0-0,1,100-250,0,0-0,3,500-1000
CO,2013,1,100-250,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,500-1000
CO,2014,1,0-5,0,0-0,0,0-0,2,250-500,0,0-0,0,0-0,0,0-0,3,250-500
CO,2015,0,0-0,1,5-100,0,0-0,2,5-100,0,0-0,1,0-5,0,0-0,4,100-250
CO,2016,0,0-0,0,0-0,0,0-0,3,250-500,0,0-0,0,0-0,0,0-0,3,250-500
CO,2017,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,0,0-0,1,500-1000
CO,2018,1,5-100,0,0-0,0,0-0,6,1000-2000,0,0-0,1,100-250,0,0-0,8,1000-2000
CO,2019,0,0-0,0,0-0,0,0-0,2,250-500,0,0-0,0,0-0,0,0-0,2,250-500
CO,2020,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,2,250-500
CO,2021,1,100-250,0,0-0,0,0-0,2,5-100,0,0-0,1,500-1000,1,5-100,5,500-1000
CO,2022,1,100-250,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,1,5-100,4,250-500
CO,2023,0,0-0,0,0-0,0,0-0,5,500-1000,0,0-0,0,0-0,0,0-0,5,500-1000
CO,2024,1,5-100,0,0-0,0,0-0,4,250-500,0,0-0,0,0-0,1,5-100,6,250-500
CO,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
