# Title: Connecticut Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
CT,1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1982,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100
CT,1983,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CT,1984,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,0,0-0,0,0-0,1,0-5
CT,1985,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,1,5-100,2,100-250
CT,1986,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
CT,1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1991,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100
CT,1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,1,100-250
CT,1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
CT,1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,5-100,2,5-100
CT,1995,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,1996,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,2,250-500
CT,1997,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CT,1998,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CT,1999,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,2,5-100,3,5-100
CT,2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2002,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2003,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2004,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2006,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2007,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CT,2008,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,0,0-0,0,0-0,1,0-5
CT,2009,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2010,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
CT,2011,0,0-0,0,0-0,0,0-0,0,0-0,2,250-500,0,0-0,2,100-250,4,500-1000
CT,2012,0,0-0,0,0-0,0,0-0,0,0-0,1,500-1000,0,0-0,0,0-0,1,500-1000
CT,2013,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2014,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2015,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100
CT,2016,1,0-5,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,5-100
CT,2017,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
CT,2018,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,2,5-100,3,100-250
CT,2019,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
CT,2020,0,0-0,0,0-0,0,0-0,1,5-100,1,250-500,0,0-0,0,0-0,2,250-500
CT,2021,0,0-0,0,0-0,0,0-0,0,0-0,3,250-500,0,0-0,0,0-0,3,250-500
CT,2022,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
CT,2023,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,2,5-100
CT,2024,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,2,5-100
CT,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
