# Title: Delaware Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
DE,1980,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
DE,1983,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
DE,1984,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1985,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,1,5-100,2,100-250
DE,1986,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1989,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1991,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1992,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
DE,1993,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,1,250-500
DE,1994,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,2,100-250,2,100-250
DE,1995,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
DE,1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,1,100-250
DE,1997,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1998,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,1999,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,1,5-100,2,250-500
DE,2000,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2002,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
DE,2003,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,1,250-500
DE,2004,0,0-0,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,2,100-250
DE,2005,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2006,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100
DE,2007,1,100-250,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,100-250
DE,2008,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2009,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2010,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
DE,2011,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
DE,2012,1,100-250,0,0-0,0,0-0,0,0-0,1,250-500,0,0-0,0,0-0,2,250-500
DE,2013,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2014,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
DE,2015,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
DE,2016,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2017,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2018,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
DE,2019,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
DE,2020,0,0-0,0,0-0,0,0-0,2,5-100,1,100-250,0,0-0,0,0-0,3,100-250
DE,2021,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100
DE,2022,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
DE,2023,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,5-100
DE,2024,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
DE,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
