# Title: Georgia Billion-Dollar Disasters Cost per Capita (CPI-Adjusted)
# Cost values are in dollars

State,Year,"Drought Count","Drought Cost Range","Flooding Count","Flooding Cost Range","Freeze Count","Freeze Cost Range","Severe Storm Count","Severe Storm Cost Range","Tropical Cyclone Count","Tropical Cyclone Cost Range","Wildfire Count","Wildfire Cost Range","Winter Storm Count","Winter Storm Cost Range","All Disasters Count","All Disasters Cost Range"
GA,1980,1,250-500,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,250-500
GA,1981,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
GA,1982,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
GA,1983,1,100-250,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,2,100-250
GA,1984,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
GA,1985,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100
GA,1986,1,100-250,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250
GA,1987,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
GA,1988,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
GA,1989,0,0-0,0,0-0,0,0-0,1,0-5,0,0-0,0,0-0,1,5-100,2,5-100
GA,1990,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
GA,1991,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
GA,1992,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
GA,1993,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,2,100-250
GA,1994,0,0-0,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,1,0-5,2,100-250
GA,1995,1,5-100,0,0-0,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,2,100-250
GA,1996,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
GA,1997,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,1,5-100
GA,1998,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,5-100
GA,1999,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,3,100-250
GA,2000,1,5-100,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,1,5-100,2,100-250
GA,2001,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
GA,2002,1,5-100,0,0-0,0,0-0,2,5-100,0,0-0,1,5-100,0,0-0,4,5-100
GA,2003,0,0-0,0,0-0,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,2,5-100
GA,2004,0,0-0,0,0-0,0,0-0,0,0-0,3,250-500,0,0-0,0,0-0,3,250-500
GA,2005,0,0-0,0,0-0,0,0-0,1,5-100,2,5-100,0,0-0,0,0-0,3,5-100
GA,2006,1,5-100,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,5-100
GA,2007,1,5-100,0,0-0,1,5-100,1,0-5,0,0-0,1,5-100,0,0-0,4,100-250
GA,2008,1,5-100,0,0-0,0,0-0,1,100-250,0,0-0,0,0-0,0,0-0,2,100-250
GA,2009,0,0-0,1,100-250,0,0-0,2,5-100,0,0-0,0,0-0,0,0-0,3,100-250
GA,2010,0,0-0,1,5-100,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,5-100
GA,2011,1,5-100,0,0-0,0,0-0,5,100-250,1,0-5,0,0-0,0,0-0,7,100-250
GA,2012,1,0-5,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,0,0-0,2,5-100
GA,2013,0,0-0,0,0-0,0,0-0,2,100-250,0,0-0,0,0-0,0,0-0,2,100-250
GA,2014,0,0-0,0,0-0,0,0-0,1,5-100,0,0-0,0,0-0,1,5-100,2,5-100
GA,2015,0,0-0,1,0-5,0,0-0,2,5-100,0,0-0,0,0-0,1,5-100,4,5-100
GA,2016,1,5-100,0,0-0,0,0-0,2,5-100,1,100-250,1,5-100,0,0-0,5,100-250
GA,2017,0,0-0,0,0-0,1,5-100,3,5-100,1,100-250,0,0-0,0,0-0,5,100-250
GA,2018,0,0-0,0,0-0,0,0-0,3,5-100,2,500-1000,0,0-0,1,0-5,6,500-1000
GA,2019,0,0-0,0,0-0,0,0-0,1,5-100,1,5-100,0,0-0,0,0-0,2,5-100
GA,2020,0,0-0,0,0-0,0,0-0,5,5-100,5,100-250,0,0-0,0,0-0,10,250-500
GA,2021,0,0-0,0,0-0,0,0-0,3,5-100,3,5-100,0,0-0,0,0-0,6,5-100
GA,2022,0,0-0,0,0-0,0,0-0,3,5-100,2,5-100,0,0-0,1,5-100,6,100-250
GA,2023,1,0-5,1,0-5,0,0-0,11,100-250,1,5-100,0,0-0,0,0-0,14,250-500
GA,2024,1,5-100,0,0-0,0,0-0,8,5-100,3,1000-2000,0,0-0,1,5-100,13,1000-2000
GA,2025,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0,0,0-0
