ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Energy,CO2,MtCO₂e,33844.07,32008.01,33952.39,34014.9,33220.25,32709.9,32653.54,32788.53,32712.89,32105.24,31764.12,30876.98,29098.54,29513.52,29311.06,28276.61,27428.72,26452.59,25291.26,24225.76,23909.01,23578.28,22861.24,22724.54,22558.37,22162.14,21693.95,21104.75,20995.22,20875.35,20945.86,20802.72
WORLD,World,Climate Watch,Electricity/Heat,CO2,MtCO₂e,16225.24,15134.18,15760.22,15822.69,15379.1,15045.35,15035.1,15296.77,15359.51,15080.13,14785.69,14175.86,13277.85,13483.65,13458.99,12892.4,12397.98,12016.86,11629.52,11013.43,10827.76,10574.63,10165.87,10105.1,9881.57,9607.99,9252.3,9062.96,8964.05,8916.24,8757.76,8616.85
CHN,China,Climate Watch,Energy,CO2,MtCO₂e,10653.23,10058.45,9953.37,9792.2,9335.77,9131.39,9138.89,9242.42,9230.81,8825.72,8573.93,7835.3,7135.45,6673.68,6478.16,5967.34,5412.99,4744.79,4070.68,3513.43,3258.26,3102.1,2925.34,3024.86,2931.18,2877.57,2904.0,2603.25,2502.6,2295.78,2200.89,2088.85
WORLD,World,Climate Watch,Transportation,CO2,MtCO₂e,7631.46,7089.9,8279.32,8270.81,8076.36,7883.25,7734.19,7500.2,7377.08,7190.88,7132.08,7018.52,6733.44,6873.53,6869.28,6661.23,6509.66,6368.5,6086.25,5961.21,5809.13,5780.13,5602.19,5440.67,5316.49,5240.26,5034.2,4899.71,4803.03,4761.27,4655.45,4617.67
WORLD,World,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,6340.96,6193.62,6249.52,6213.09,6078.01,6149.3,6291.35,6427.31,6363.2,6335.53,6315.54,6088.59,5544.53,5555.66,5440.9,5167.59,4925.54,4508.76,4077.14,3891.64,3897.16,3874.37,3698.96,3856.12,3856.1,3830.85,3940.27,3713.84,3696.94,3746.91,3880.09,3956.8
CHN,China,Climate Watch,Electricity/Heat,CO2,MtCO₂e,6255.59,5685.25,5590.46,5381.1,5035.33,4698.0,4593.76,4689.45,4742.95,4450.73,4324.11,3831.98,3455.65,3208.47,3171.09,2898.66,2552.71,2376.12,2178.69,1840.48,1661.15,1575.21,1432.76,1409.58,1328.11,1330.33,1185.7,1082.83,997.65,877.75,794.33,725.36
USA,United States,Climate Watch,Energy,CO2,MtCO₂e,4565.38,4279.3,4776.55,4936.2,4778.69,4854.74,4950.36,5067.36,5055.39,4920.44,5141.12,5360.49,5126.69,5516.87,5690.73,5606.16,5707.22,5692.32,5615.55,5549.78,5706.56,5734.27,5568.68,5550.97,5504.67,5236.07,5079.84,5030.37,4960.22,4846.46,4774.58,4810.88
CHN,China,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2832.32,2852.62,2795.07,2790.82,2696.33,2859.4,2995.88,3094.69,3068.12,3042.03,3004.77,2844.07,2601.24,2409.72,2274.4,2083.31,1935.75,1497.94,1136.15,996.75,958.84,904.05,871.49,1023.82,961.13,968.66,1070.17,903.38,861.54,807.8,778.83,745.2
WORLD,World,Climate Watch,Building,CO2,MtCO₂e,2787.32,2740.99,2790.78,2822.01,2793.57,2726.98,2687.18,2659.53,2712.74,2600.67,2656.67,2710.19,2655.62,2706.53,2641.3,2643.07,2673.95,2674.05,2633.14,2548.96,2549.51,2524.71,2532.34,2461.89,2611.19,2634.51,2566.46,2492.17,2573.4,2515.25,2623.24,2598.03
IND,India,Climate Watch,Energy,CO2,MtCO₂e,2281.83,2077.54,2280.3,2318.83,2187.34,2071.42,2040.0,2030.54,1863.55,1808.29,1664.4,1573.37,1483.05,1351.08,1268.34,1150.24,1076.72,1030.07,960.83,936.29,906.73,891.83,856.67,797.17,781.76,739.92,706.68,657.3,624.63,600.95,582.36,540.87
USA,United States,Climate Watch,Electricity/Heat,CO2,MtCO₂e,1878.0,1765.03,1958.64,2097.15,2064.52,2145.51,2234.02,2376.19,2378.54,2360.2,2488.67,2609.56,2489.11,2719.59,2789.49,2722.96,2791.21,2742.06,2707.69,2679.75,2812.77,2801.39,2769.65,2800.15,2742.5,2504.04,2423.43,2360.7,2335.52,2276.97,2179.91,2159.79
RUS,Russia,Climate Watch,Energy,CO2,MtCO₂e,1723.97,1603.75,1682.65,1640.33,1573.49,1550.48,1568.86,1585.01,1604.86,1648.82,1672.94,1594.14,1525.65,1630.42,1629.09,1628.95,1588.14,1578.71,1589.9,1547.01,1550.19,1547.65,1509.56,1475.03,1476.32,1587.48,1617.8,1667.51,1857.4,2003.43,2136.44,2163.53
WORLD,World,Climate Watch,Industrial Processes,CO2,MtCO₂e,1696.36,1638.4,1623.22,1554.51,1509.43,1490.47,1451.21,1502.48,1454.61,1394.75,1358.88,1263.18,1182.09,1148.98,1134.03,1055.86,968.29,902.62,863.63,785.24,757.33,724.05,692.67,660.13,662.39,636.43,623.48,589.5,552.24,529.35,508.32,494.4
USA,United States,Climate Watch,Transportation,CO2,MtCO₂e,1663.68,1507.92,1757.34,1762.24,1724.02,1711.22,1700.05,1639.85,1646.94,1597.53,1633.59,1679.77,1622.55,1708.27,1806.37,1806.02,1807.72,1788.67,1766.75,1741.64,1720.04,1717.85,1686.18,1640.36,1602.13,1577.19,1537.76,1506.9,1454.19,1430.66,1399.67,1426.97
IND,India,Climate Watch,Electricity/Heat,CO2,MtCO₂e,1223.37,1116.26,1228.08,1255.82,1154.9,1096.32,1103.12,1123.43,1006.04,989.11,860.23,819.68,789.51,721.88,703.28,639.33,599.57,584.73,536.41,513.58,505.36,491.24,459.65,418.14,402.1,388.13,364.89,319.86,306.8,278.57,258.97,231.92
WORLD,World,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,1152.98,1173.17,1470.65,1295.88,1147.97,1182.9,581.57,565.41,301.99,316.19,306.64,1381.84,1672.63,1368.78,1380.83,1806.88,1511.22,1717.82,1447.61,1720.14,1344.44,1621.54,1673.68,1770.01,2326.0,1636.16,1768.98,1763.37,1763.7,1763.27,1763.27,1763.27
JPN,Japan,Climate Watch,Energy,CO2,MtCO₂e,998.14,990.63,1048.26,1085.63,1125.1,1139.3,1152.2,1191.02,1240.61,1228.74,1188.82,1132.93,1077.09,1130.3,1197.35,1161.08,1183.22,1176.0,1182.01,1174.34,1137.99,1149.36,1133.97,1094.94,1132.7,1142.8,1128.87,1118.48,1066.39,1073.39,1063.61,1051.82
CHN,China,Climate Watch,Transportation,CO2,MtCO₂e,969.45,901.96,944.37,950.96,877.82,845.36,828.46,770.35,741.09,686.13,621.89,568.78,517.07,507.07,468.58,434.81,397.31,371.14,313.14,276.44,254.25,248.48,157.36,140.29,146.13,169.85,127.37,116.35,125.7,111.1,100.62,94.15
RUS,Russia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,886.88,820.23,869.41,859.18,835.99,839.26,878.48,907.38,969.39,1007.74,1015.17,956.01,891.48,961.59,965.64,994.76,947.84,943.17,956.82,933.94,929.27,930.29,917.49,907.32,910.52,982.04,957.89,1014.7,1101.71,1218.61,1261.62,1231.39
CHN,China,Climate Watch,Industrial Processes,CO2,MtCO₂e,843.8,850.0,820.0,765.8,753.4,740.8,718.6,770.3,748.3,714.8,708.6,639.6,583.6,525.9,515.0,470.1,411.6,368.4,353.7,282.7,270.8,244.4,228.3,211.4,202.9,192.9,184.6,164.4,142.8,122.4,101.3,84.51
IRN,Iran,Climate Watch,Energy,CO2,MtCO₂e,675.08,647.11,636.05,601.55,607.71,587.6,578.4,581.98,558.98,535.16,529.1,519.72,524.65,507.52,500.06,472.0,439.57,406.45,379.14,359.51,344.23,331.44,314.97,283.22,284.94,272.84,264.64,260.03,230.28,227.53,212.94,192.45
DEU,Germany,Climate Watch,Energy,CO2,MtCO₂e,624.09,593.1,645.4,694.54,718.79,734.49,729.68,723.11,763.65,746.84,733.09,760.64,722.25,776.11,769.35,801.07,789.33,807.0,823.28,820.56,834.18,815.03,817.82,849.71,857.38,889.53,859.1,860.56,872.53,878.38,918.81,940.01
COD,Democratic Republic of the Congo,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,601.25,601.25,601.24,601.26,601.26,601.26,601.25,601.25,601.25,601.26,601.26,367.58,367.58,367.58,367.58,367.58,367.58,367.58,367.58,367.58,367.58,367.59,367.59,367.59,367.59,367.6,367.59,367.59,367.59,367.59,367.59,367.59
WORLD,World,Climate Watch,Other Fuel Combustion,CO2,MtCO₂e,587.13,580.87,588.01,611.39,626.68,622.61,630.09,632.15,636.49,629.95,608.48,623.1,607.14,617.78,610.67,608.47,598.82,578.22,543.68,525.1,523.83,512.49,568.89,559.71,582.96,535.87,606.61,654.56,684.11,668.95,751.94,751.15
