"","X","Index","Month","YearValue","num_obs","num_weighted_obs","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1",1,0,12,1993.038692,459563,333609.59,"0","11","1993.0115260","466881","338409.69","-37.91","89.01","-37.67","-37.90","89.01","-37.66","-37.64","-37.66"
"2",2,0,13,1993.065858,402996,292736.5,"0","12","1993.0386920","459563","333609.59","-40.95","89.95","-39.07","-40.94","89.95","-39.06","-38.53","-38.55"
"3",3,0,14,1993.093025,462894,336670.31,"0","13","1993.0658580","402996","292736.50","-41.09","86.90","-39.11","-41.07","86.90","-39.09","-38.16","-38.19"
"4",4,0,15,1993.120191,460498,332486.09,"0","14","1993.0930250","462894","336670.31","-43.38","88.73","-39.40","-43.36","88.73","-39.38","-38.12","-38.16"
"5",5,0,16,1993.147357,415229,300489.59,"0","15","1993.1201910","460498","332486.09","-38.66","89.87","-38.51","-38.63","89.87","-38.48","-36.96","-37.00"
"6",6,0,17,1993.174523,470588,340262.31,"0","16","1993.1473570","415229","300489.59","-35.75","89.54","-37.37","-35.71","89.54","-37.33","-35.57","-35.61"
"7",7,0,18,1993.201689,469308,339210.91,"0","17","1993.1745230","470588","340262.31","-34.13","87.56","-36.41","-34.09","87.56","-36.37","-34.36","-34.41"
"8",8,0,19,1993.228855,464654,335581.31,"0","18","1993.2016890","469308","339210.91","-34.79","88.49","-35.87","-34.74","88.48","-35.82","-33.54","-33.59"
"9",9,999,20,1993.256021,450755,327812.59,"0","19","1993.2288550","464654","335581.31","-35.91","87.78","-35.75","-35.85","87.78","-35.69","-33.10","-33.16"
"10",10,0,21,1993.283188,467062,337673.91,"999","20","1993.2560210","450755","327812.59","-38.21","95.18","-35.85","-38.15","95.17","-35.79","-32.85","-32.91"
"11",11,0,22,1993.310354,472295,341114.91,"0","21","1993.2831880","467062","337673.91","-38.16","87.20","-36.01","-38.09","87.20","-35.94","-32.63","-32.69"
"12",12,0,23,1993.33752,469212,340206.81,"0","22","1993.3103540","472295","341114.91","-33.80","86.35","-36.21","-33.72","86.34","-36.13","-32.45","-32.53"
"13",13,0,24,1993.364686,471421,340656.59,"0","23","1993.3375200","469212","340206.81","-35.02","85.72","-36.49","-34.93","85.71","-36.40","-32.40","-32.48"
"14",14,0,25,1993.391852,472424,340986.5,"0","24","1993.3646860","471421","340656.59","-37.97","85.90","-36.57","-37.88","85.90","-36.48","-32.25","-32.33"
"15",15,0,26,1993.419018,472277,341267.19,"0","25","1993.3918520","472424","340986.50","-38.80","84.84","-36.74","-38.71","84.84","-36.64","-32.31","-32.40"
"16",16,0,27,1993.446185,469214,339717.31,"0","26","1993.4190180","472277","341267.19","-38.31","84.77","-36.06","-38.21","84.77","-35.96","-31.70","-31.80"
"17",17,0,28,1993.473351,433670,315057.31,"0","27","1993.4461850","469214","339717.31","-35.89","85.00","-35.45","-35.78","85.00","-35.35","-31.37","-31.47"
"18",18,0,29,1993.500517,465358,340186.5,"0","28","1993.4733510","433670","315057.31","-32.30","83.26","-34.48","-32.19","83.25","-34.37","-30.89","-31.00"
"19",19,0,30,1993.527683,461887,337891.81,"0","29","1993.5005170","465358","340186.50","-32.44","82.44","-33.63","-32.32","82.43","-33.51","-30.74","-30.86"
"20",20,999,31,1993.554849,248043,185244.8,"0","30","1993.5276830","461887","337891.81","-32.35","84.15","-32.99","-32.22","84.16","-32.86","-31.00","-31.12"
