1980-2025 Billion-Dollar Disasters Cost (in $Millions) By State (CPI-Adjusted)
state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,2376.6,0.0
AL,7014.7,139.3,153.9,14850.1,27498.8,741.4,2458.9
AR,6967.3,4766.4,302.0,12082.6,731.1,0.0,1375.0
AZ,1626.4,1946.3,0.0,5548.0,0.0,1369.9,0.0
CA,16764.9,19465.1,15637.0,3566.3,0.0,101353.7,0.0
CO,7427.1,2097.8,106.0,33683.5,0.0,7312.3,422.8
CT,13.5,617.2,42.4,917.6,6096.1,0.0,3186.2
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,898.7,35.0,12.7,289.1,1048.7,0.0,944.8
FL,1549.3,2974.9,14048.2,6716.3,426764.7,309.9,4064.8
GA,8494.0,1437.8,1328.4,13259.1,33386.4,298.2,2943.8
GU,0.0,0.0,0.0,0.0,4462.5,0.0,0.0
HI,0.0,0.0,0.0,0.0,7006.0,5775.0,0.0
IA,16714.3,25079.5,78.3,23308.8,0.0,0.0,238.5
ID,3632.7,595.0,12.7,0.0,0.0,3594.7,0.0
IL,17720.2,10301.4,436.6,29121.3,1097.7,0.0,2606.8
IN,8904.0,5593.5,236.8,15898.0,1283.9,0.0,806.9
KS,27381.2,3712.2,177.9,14160.8,0.0,0.0,207.6
KY,7989.8,977.6,258.7,16764.3,1606.1,0.0,1604.9
LA,7165.0,21828.8,211.9,13093.8,273476.9,0.0,2340.0
MA,20.3,1330.6,50.9,889.5,3739.1,0.0,5244.5
MD,3487.2,349.4,33.9,3809.5,6610.3,0.0,3178.9
ME,13.5,607.4,0.0,246.2,145.4,0.0,1643.1
MI,3341.2,3457.6,50.9,7196.6,117.3,0.0,684.4
MN,10377.9,6689.7,55.1,25180.0,0.0,101.7,228.6
MO,12810.9,16489.5,664.5,29664.1,569.0,0.0,938.1
MS,9125.6,3803.5,130.9,7087.3,62470.9,43.8,4878.9
MT,14028.5,362.3,12.7,1296.1,0.0,3509.4,0.0
NC,10871.9,107.4,316.2,8846.1,114439.0,91.4,2485.0
ND,24321.3,9875.4,12.7,421.0,0.0,13.4,39.2
NE,17655.6,5310.4,87.8,16479.0,0.0,59.0,42.8
NH,13.5,73.3,0.0,165.5,469.4,0.0,1647.4
NJ,518.7,1367.2,50.9,4215.6,54106.6,0.0,5778.0
NM,3463.6,0.0,0.0,1073.2,308.9,4583.5,0.0
NV,450.9,1105.5,0.0,63.7,0.0,1261.7,46.0
NY,640.1,2374.4,72.0,5004.1,69730.1,0.0,8076.0
OH,6707.6,1412.1,422.9,19115.8,3940.9,0.0,1813.7
OK,13615.5,2636.4,637.8,27705.4,0.0,352.4,1077.2
OR,4510.3,1680.0,139.9,108.5,0.0,5990.5,1491.8
PA,2622.7,1365.2,106.0,9799.1,12239.2,0.0,4066.0
PR,0.0,0.0,0.0,0.0,127343.1,0.0,0.0
RI,13.5,242.5,8.5,226.6,1374.6,0.0,1142.9
SC,4505.3,2631.6,657.6,5199.4,29165.6,0.0,1578.7
SD,14895.4,5732.5,25.4,2322.4,0.0,109.9,0.0
TN,7591.3,4022.8,198.1,23858.4,2545.9,1848.0,2876.9
TX,44674.0,15513.7,570.5,99497.1,250413.7,3198.6,26736.2
US,372124.2,205520.5,37698.6,519645.7,1558781.7,149909.3,105521.4
UT,536.0,1630.0,12.7,29.2,0.0,1424.9,0.0
VA,4893.7,2325.2,92.5,4069.6,11261.7,0.0,3174.8
VI,0.0,0.0,0.0,0.0,21264.7,0.0,0.0
VT,13.5,971.3,0.0,187.2,1190.5,0.0,1211.6
WA,4967.6,1115.2,114.4,69.5,0.0,3071.6,1091.6
WI,5941.0,6482.0,50.9,9917.1,0.0,0.0,254.5
WV,2364.8,2888.6,70.9,1171.0,876.9,0.0,893.6
WY,2868.2,0.0,8.5,1472.3,0.0,1117.8,0.0
