# Title: Global Land and Ocean March Average Temperature Anomalies,
# Units: Degrees Celsius,
# Missing: -999,
# Base Period: 1901-2000,
Year,Anomaly
1980,0.35
1981,0.46
1982,0.05
1983,0.42
1984,0.31
1985,0.22
1986,0.31
1987,0.19
1988,0.52
1989,0.32
1990,0.75
1991,0.37
1992,0.47
1993,0.37
1994,0.30
1995,0.51
1996,0.38
1997,0.52
1998,0.64
1999,0.36
2000,0.53
2001,0.54
2002,0.83
2003,0.59
2004,0.67
2005,0.74
2006,0.65
2007,0.68
2008,0.71
2009,0.53
2010,0.90
2011,0.65
2012,0.54
2013,0.65
2014,0.80
2015,0.94
2016,1.33
2017,1.11
2018,0.88
2019,1.15
2020,1.14
2021,0.89
2022,1.07
2023,1.22
2024,1.34
2025,1.31
